=============================================
  4-bit Adder Self-Checking Testbench
=============================================

--- Directed Tests ---
UVM_INFO: [PASS] exhaustive_a1_b5_c1 | a=1 b=5 cin=1 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_b6_c0 | a=1 b=6 cin=0 | sum=7 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_b6_c1 | a=1 b=6 cin=1 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a1_b7_c0 | a=1 b=7 cin=0 | sum=8 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a1_b7_c1 | a=1 b=7 cin=1 | sum=9 cout=0 ovflow=1
UVM_INFO: [PASS] exhaustive_a1_b8_c0 | a=1 b=8 cin=0 | sum=9 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_b8_c1 | a=1 b=8 cin=1 | sum=a cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_b9_c0 | a=1 b=9 cin=0 | sum=a cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_b9_c1 | a=1 b=9 cin=1 | sum=b cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_ba_c0 | a=1 b=a cin=0 | sum=b cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_ba_c1 | a=1 b=a cin=1 | sum=c cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_bb_c0 | a=1 b=b cin=0 | sum=c cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_bb_c1 | a=1 b=b cin=1 | sum=d cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_bc_c0 | a=1 b=c cin=0 | sum=d cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_bc_c1 | a=1 b=c cin=1 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_bd_c0 | a=1 b=d cin=0 | sum=e cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_bd_c1 | a=1 b=d cin=1 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_be_c0 | a=1 b=e cin=0 | sum=f cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_be_c1 | a=1 b=e cin=1 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_bf_c0 | a=1 b=f cin=0 | sum=0 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a1_bf_c1 | a=1 b=f cin=1 | sum=1 cout=1 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b0_c0 | a=2 b=0 cin=0 | sum=2 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b0_c1 | a=2 b=0 cin=1 | sum=3 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b1_c0 | a=2 b=1 cin=0 | sum=3 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b1_c1 | a=2 b=1 cin=1 | sum=4 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b2_c0 | a=2 b=2 cin=0 | sum=4 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b2_c1 | a=2 b=2 cin=1 | sum=5 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b3_c0 | a=2 b=3 cin=0 | sum=5 cout=0 ovflow=0
UVM_INFO: [PASS] exhaustive_a2_b3_c1 | a=2 b=3 cin=1 | sum=6 cout=0 ovflow=0
